ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP
Bionnex  Purifying Cream30 ml,1,2,,1,2,,,42,,15,Exclusive,84,0,8680419314145,0,,,0,
Bionnex Whitening Cream30 ml,1,2,,1,2,,,70,,15,Exclusive,140,0,8680419314152,0,,,0,
Bionnex Whitening Sensitive Area Cream,1,2,,1,2,,,79,,15,Exclusive,158,0,8680419314138,0,,,0,
Bionnex Eye Contour Cream 15 ml,1,2,,1,2,,,57.5,,15,Exclusive,115,0,8680419314220,0,,,0,
2254SA,1,2,,1,2,,,4.900000095,,15,Exclusive,7,0,8680419314213,0,,,0,
Strepsils Junior Strawberry,1,1,,1,1,,,15.19999981,,0,Exclusive,19,0,8680419315180,0,,,0,
Sunsilk Rose,1,2,,1,2,,,10,,15,Exclusive,13.33300018,0,4895125922544,0,,,0,
Energy H. Remover Wax Kit,1,2,,1,2,,,10.00006008,,15,Exclusive,14,0,5000158106147,0,,,0,
Cefproz 250mg susp,1,1,,1,1,,,45.15000153,,0,Exclusive,64.5,0,6281006450264,0,,,0,
P Manual Breast Pump,1,2,,1,2,,,101.6399994,,0,Exclusive,130,0,6291100274376,0,,,0,
P Silicone pacifier S-2,1,9,,1,9,,,9.5,,15,Exclusive,11.4289999,0,0009377,0,,,0,
Pamp.Premium Care 5 Box,1,4,,1,4,,,88,,15,Exclusive,110,0,4902508008525,0,,,0,
Avent Manual Br. Pump,1,9,,1,9,,,212.5709991,,15,Exclusive,310,0,4902508136808,0,,,0,
Biogaia Drops,1,1,,1,1,,,82.31999969,,15,Exclusive,98,0,4015400756149,0,,,0,
Savy syrup,1,1,,1,1,,,33.04399872,,0,Exclusive,39.65000153,0,8710103565796,0,,,0,
Batiste Oriental Dry Shampoo,1,2,,1,2,,,10,,15,Exclusive,17.38999939,0,7330934081008,0,,,0,
Batiste Original Dry Shampoo,1,2,,1,2,,,26.09000015,,15,Exclusive,34.77999878,0,6281086230312,0,,,0,
Batiste Floral Dry Shampoo,1,2,,1,2,,,24,,15,Exclusive,30,0,5010724528105,0,,,0,
Batiste Cherry Dry Shampoo,1,2,,1,2,,,24,,15,Exclusive,30,0,5010724527481,0,,,0,
Batiste Blush Dry Shampoo,1,2,,1,2,,,24,,15,Exclusive,30,0,5010724528426,0,,,0,
2255SA,1,2,,1,2,,,4.900000095,,15,Exclusive,7,0,5010724526798,0,,,0,
2256SA,1,2,,1,2,,,4.900000095,,15,Exclusive,7,0,5010724527375,0,,,0,
2141SA,1,2,,1,2,,,17.5,,15,Exclusive,25,0,4895125922551,0,,,0,
NAN HA3 900GM,1,5,,1,5,,,61.83300018,,15,Exclusive,67,0,4895125922568,0,,,0,
NAN HA1 800GM,1,5,,1,5,,,64.66799927,,15,Exclusive,67,0,0009391,0,,,0,
Blemil Plus HR 400g,1,5,,1,5,,,49.13000107,,15,Exclusive,53.04299927,0,7613035669598,0,,,0,
Proluton Depot 250mg Amp,1,1,,1,1,,,17.04299927,,0,Exclusive,20.45000076,0,7613032526375,0,,,0,
JP Omega -3  567MG Tabs,1,1,,1,1,,,35.17499924,,0,Exclusive,60,0,8426594257095,0,,,0,
Fertilsan M Tabs,1,1,,1,1,,,310.0400085,,0,Exclusive,575,0,0009395,0,,,0,
Selenium 100 Tabs,1,1,,1,1,,,19.16799927,,0,Exclusive,23,0,6281200000456,0,,,0,
Tears Natural  e.dps,1,1,,1,1,,,7.916999817,,0,Exclusive,9.5,0,0009397,0,,,0,
Xylo Acino 0.1%Spray,1,1,,1,1,,,6.561999798,,0,Exclusive,9.649999619,0,064642073969,0,,,0,
Etoria 60 MG Tab,1,1,,1,1,,,48.36000061,,0,Exclusive,60.45000076,0,0009399,0,,,0,
Renitec 10mg tab,1,1,,1,1,,,52.8730011,,0,Exclusive,63.45000076,0,0009400,0,,,0,
Protopic 0.1%oint,1,1,,1,1,,,81.67299652,,0,Exclusive,98,0,6281086002865,0,,,0,
MB Ultra Active Soft TB,1,2,,1,2,,,7.800000191,,15,Exclusive,12,0,0009402,0,,,0,
MB Deep Clean Soft TB,1,2,,1,2,,,7.800000191,,15,Exclusive,12,0,0009403,0,,,0,
MB Contour Soft TB,1,2,,1,2,,,7.800000191,,15,Exclusive,12,0,5060072087496,0,,,0,
MB  Flex Max Soft TB,1,2,,1,2,,,7.800000191,,15,Exclusive,12,0,5060072087472,0,,,0,
Sasmar Classic 50 ml,1,2,,1,2,,,18.85000038,,15,Exclusive,29,0,5060072087519,0,,,0,
Sasmar Warming 50 ml,1,2,,1,2,,,18.85000038,,15,Exclusive,29,0,5060072087533,0,,,0,
Sasmar Strawberry 50ml,1,2,,1,2,,,18.85000038,,15,Exclusive,29,0,9337213008686,0,,,0,
Sasmar Vanilla 50ml,1,2,,1,2,,,18.85000038,,15,Exclusive,29,0,9337213008693,0,,,0,
Sasmar Original 60ml,1,2,,1,2,,,29.25,,15,Exclusive,45,0,9337213008761,0,,,0,
Sasmar Classic 60ml,1,2,,1,2,,,21.45000076,,15,Exclusive,33,0,9337213008785,0,,,0,
Sasmar Warming 60ml,1,2,,1,2,,,22.75,,15,Exclusive,35,0,9337213008808,0,,,0,
Sasmar Strawberry 60ml,1,2,,1,2,,,22.75,,15,Exclusive,35,0,9337213008815,0,,,0,
Sasmar Colada 60ml,1,2,,1,2,,,22.75,,15,Exclusive,35,0,9337213008679,0,,,0,
Sasmar Melon 60ml,1,2,,1,2,,,22.75,,15,Exclusive,35,0,9337213008778,0,,,0,
Wdi.Nhl Ostrich Fat,1,2,,1,2,,,45,,15,Exclusive,54,0,9337213008716,0,,,0,
Wdi.Nhl Fenugreek Oil,1,2,,1,2,,,17.5,,15,Exclusive,22.60899925,0,0009417,0,,,0,
Wdi.Nhl Roses Oil,1,2,,1,2,,,14.5,,15,Exclusive,19.12999916,0,1400300200282,0,,,0,
Baby Buggy Stroller 1803,1,9,,1,9,,,98,,15,Exclusive,149,0,6281112008632,0,,,0,
ACILOC 40MG 14 CAP,1,1,,1,1,,,36.59999847,,0,Exclusive,61,0,6281112009073,0,,,0,
Brimo Drops,1,1,,1,1,,,29.54400063,,0,Exclusive,35.45000076,0,0009421,0,,,0,
Neuro-tone Tabs,1,1,,1,1,,,19.71999931,,0,Exclusive,29,0,0009422,0,,,0,
Uriage Depiderm White,1,2,,1,2,,,69.5,,15,Exclusive,139,0,0009423,0,,,0,
Zantac 75mg tab,1,1,,1,1,,,16.58499908,,0,Exclusive,19.89999962,0,766961007907,0,,,0,
Prozinc cream,1,2,,1,2,,,10,,15,Exclusive,35,0,3661434003219,0,,,0,
